Document,Person,Count
FOIA Request to DOD Transgender Ban,Abby Phillip,1
FOIA to DOD Regarding Communications Related to Transgender Ban Decision,Abby Phillip,1
FOIA to DOD Regarding Communications with Military Branches Related to Transgender Ban Decision,Abby Phillip,1
Complaint: American Oversight vs. U.S. Department of Commerce et. al.,Angela Merkel,2
FOIA Request to OPM Vetting for Ivanka Trump,Angela Merkel,4
FOIA Request to DOL Seeking Communications and Records of Meetings with Ivanka Trump,Angela Merkel,4
FOIA Request to Education Seeking Communications and Records of Meetings with Ivanka Trump,Angela Merkel,4
FOIA Request to SBA Seeking Communications and Records of Meetings with Ivanka Trump,Angela Merkel,3
FOIA Request to Commerce Seeking Communications and Records of Meetings with Ivanka Trump,Angela Merkel,3
FOIA Request to Treasury Seeking Communications and Records of Meetings with Ivanka Trump,Angela Merkel,3
Complaint: American Oversight v. Department of Commerce et.al. - Ivanka Emails,Angela Merkel,2
FOIA Request to DOD Transgender Ban,Austin Evers,1
FOIA Request to OPM Vetting for Ivanka Trump,Austin Evers,1
FOIA Request to DOL Seeking Communications and Records of Meetings with Ivanka Trump,Austin Evers,1
FOIA Request to Education Seeking Communications and Records of Meetings with Ivanka Trump,Austin Evers,1
FOIA Request to SBA Seeking Communications and Records of Meetings with Ivanka Trump,Austin Evers,1
FOIA Request to Commerce Seeking Communications and Records of Meetings with Ivanka Trump,Austin Evers,1
FOIA Request to Treasury Seeking Communications and Records of Meetings with Ivanka Trump,Austin Evers,1
OPM No Responsive Records for FOIA Request about Ivanka Trump,Austin Evers,1
FOIA to DOD Regarding Communications Related to Transgender Ban Decision,Austin Evers,1
FOIA to DOD Regarding Communications with Military Branches Related to Transgender Ban Decision,Austin Evers,1
DOJ Withheld Records Response Regarding Ivanka Emails Lawsuit,Austin Evers,1
No Records Response from NARA Regarding Communications with the White House Regarding Ivanka Trump's Use of Personal Email for Government Business,Austin Evers,2
HUD Political Appointee Resumes,Ben Carson,5
FOIA to HUD Seeking Patton Communications With Trump Family,Ben Carson,1
Complaint: American Oversight v. HUD - Carson and Patton Communications,Ben Carson,7
HUD Communications Between Lynne Patton and the Trump Family,Ben Carson,4
HUD Records on FOIA Processing 1/2,Ben Carson,23
Baltimore City Records of Communications with Ben Carson's Family Members,Ben Carson,85
Baltimore City Records of Communications with Ben Carson's Family Members,Ben Carson,22
Baltimore City Records of Communications with Ben Carson's Family Members,Ben Carson,32
FOIA Request to OPM Vetting for Ivanka Trump,Catherine Lucey,3
FOIA Request to DOL Seeking Communications and Records of Meetings with Ivanka Trump,Catherine Lucey,4
