statetownid,x,y,pc11_state_id,pc11_town_id,polemp_all,emp_all,polemp_051,polemp_052,polemp_061,polemp_062,polemp_071,polemp_072,polemp_081,polemp_089,polemp_091,polemp_099,polemp_101,polemp_104,polemp_105,polemp_106,polemp_110,polemp_120,polemp_131,polemp_139,polemp_141,polemp_151,polemp_170,polemp_191,polemp_192,polemp_201,polemp_202,polemp_203,polemp_210,polemp_221,polemp_222,polemp_231,polemp_239,polemp_241,polemp_242,polemp_243,polemp_251,polemp_252,polemp_259,polemp_261,polemp_262,polemp_263,polemp_264,polemp_266,polemp_271,polemp_272,polemp_273,polemp_274,polemp_275,polemp_279,polemp_281,polemp_282,polemp_291,polemp_292,polemp_293,polemp_302,polemp_303,polemp_304,polemp_309,polemp_325,polemp_351,polemp_352
1000123,74.38114646,34.42272484,1,123,5,144,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000124,74.1843812,34.4920622,1,124,2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000125,74.13310756,34.46138019,1,125,14,182,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1000126,74.10781273,34.45362274,1,126,65,827,2,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
1000127,74.04968155,34.44008385,1,127,140,1192,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,3,3
1000128,74.22413341,34.42452036,1,128,52,542,0,0,0,0,0,0,0,0,0,0,6,0,2,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1000369,73.73776517,34.35529536,1,369,81,666,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,32,7
1000370,73.72540272,34.32059474,1,370,4,281,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000720,74.75940202,33.98104309,1,720,341,1090,0,0,0,0,0,0,0,0,0,0,7,0,2,27,0,0,205,0,44,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
1000829,74.8101158,33.93253856,1,829,141,797,3,0,0,0,0,0,0,0,0,0,4,0,43,9,0,0,29,2,19,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1000830,74.82274686,34.00222787,1,830,45,383,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1001233,74.27307587,33.56834438,1,1233,4,84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002834,74.87211428,34.02973224,1,2834,95,829,0,0,0,0,0,0,0,0,0,0,2,1,37,0,0,0,7,11,21,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002835,74.85164169,34.03098235,1,2835,76,599,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,0,1,18,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1002883,74.66867392,34.25342207,1,2883,162,1108,0,0,0,0,0,0,46,0,0,0,0,0,0,1,0,0,55,0,0,34,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1002958,74.81012237,34.26726979,1,2958,32,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1004954,75.02619897,32.85626629,1,4954,106,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,54,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,29,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1004955,75.0999643,32.86486004,1,4955,436,796,0,0,0,0,0,0,0,0,0,0,5,0,0,26,0,0,0,0,6,0,0,0,0,37,6,0,145,6,0,0,104,4,0,0,11,0,13,0,0,0,0,0,0,14,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,17
1005415,74.76073593,33.08042705,1,5415,62,295,0,0,0,0,0,0,23,0,0,0,0,0,1,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005416,74.82163462,33.09115676,1,5416,14,384,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005963,74.77933904,32.81603744,1,5963,35,1357,0,0,0,0,0,0,0,0,0,2,0,1,7,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1005964,74.77109766,32.78285754,1,5964,97,1842,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,0,0,0,14,2,11,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
1005965,74.88057311,32.64221059,1,5965,22,249,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005966,74.88905901,32.78346582,1,5966,78,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,3,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1005967,74.84383505,32.64602862,1,5967,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005968,74.79466107,32.62950198,1,5968,87,754,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,16,0,0,0,10,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1005969,74.78475507,32.63361754,1,5969,25,365,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005970,74.766066,32.65082415,1,5970,97,1521,0,0,0,0,0,0,0,0,0,0,0,0,47,7,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1006176,74.7453611,32.59964524,1,6176,17,274,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006177,74.78212718,32.60180955,1,6177,96,284,0,0,0,0,0,0,0,0,0,0,2,3,83,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
