description,y,x,pincode,place,taluka,district,state
1 Agra (Uttar Pradesh),27.216416,78.0523478,282006,Naraich,Agra,Agra,Uttar Pradesh
10 Batala (Punjab),31.818611,75.202789,143505,Batala City,Batala,Gurdaspur,Punjab
11 Bhadravati (Karnataka) *,13.8273791,75.6937041,577301,Bhadravati,Bhadravathi,Shimoga,Karnataka
12 Bhavnagar (Gujarat),21.7449519,72.1282753,364001,Bhavnagar,Bhavnagar,Bhavnagar,Gujarat
13 Bhillai- Durg (Chhattisgarh),21.1952,81.38765,490011,New Khursipar Bhilai,Durg,Durg,Chhattisgarh
14 Bhiwadi (Rajasthan),28.214046,76.843414,301019,Bhiwadi,Tizara,Alwar,Rajasthan
15 Bidar (Karnataka),17.9105606,77.5283283,585401,Bidar,Bidar,Bidar,Karnataka
16 Bulandsahar-Khurza (Uttar Pradesh),28.3247584,77.8367167,203131,Khurja,Khurja,Bulandshahr,Uttar Pradesh
17 Burnihat (Assam),26.0485671,91.8696331,793101,Byrnihat,Byrnihat,Ri Bhoi,Meghalaya
18 Chandrapur (Maharashtra),19.9316082,79.3088705,442401,Chandrapur,Chandrapur,Chandrapur,Maharashtra
19 Chembur (Maharashtra) *,19.0328066,72.8963498,400071,Chembur,Mumbai,Mumbai,Maharashtra
2 Ahmedabad (Gujarat),23.0194966,72.5921948,380001,Raipur,Ahmedabad,Ahmedabad,Gujarat
20 Coimbatore (Tamil Nadu),11.1046204,77.0292815,641107,Kurumbapalayam,Coimbatore North,Coimbatore,Tamil Nadu
21 Cochin Greater (Kerala) *,9.9312608,76.2672761,682037,Cochin Special Economic Zone,Ernakulam,Ernakulam,Kerala
22 Cuddalore (Tamil Nadu),11.6323854,79.7301575,607005,Poondiyankuppam,Cuddalore,Cuddalore,Tamil Nadu
23 Dewas (Madhya Pradesh),22.961227,76.051411,455001,Dewas,Dewas,Dewas,Madhya Pradesh
24 Dhanbad (Jharkhand) *,23.7792343,86.4138698,828111,Jharia,Dhanbad,Dhanbad,Jharkhand
25 Digboi (Assam) *,27.40745,95.6268,786171,Digboi,Margherita,Tinsukia,Assam
26 Dombivalli (Maharashtra),19.1845342,73.0904863,421201,Dombivali,Kalyan,Thane,Maharashtra
27 Durgapur (West Bengal) *,23.5628037,87.3188923,713201,Durgapur,Durgapur,Bardhaman,West Bengal
28 Erode (Tamil Nadu),11.3539596,77.7137146,638004,Veerappanchatram,Erode,Erode,Tamil Nadu
29 Faridabad (Haryana),28.6815167,76.6253735,121001,Faridabad NIT,Faridabad,Faridabad,Haryana
3 Aligarh (Uttar Pradesh),27.893817,78.068131,202001,Aligarh,,Aligarh,Uttar Pradesh
