id_from,id_to,x_from,y_from,x_to,y_to,order,km
1506,1002,83.0794,20.04661,81.59129,19.24956,1,87
1024,1009,79.21817,22.84824,79.63739,23.76042,1,30
1014,1011,76.58869,21.69804,76.52256,22.67308,1,7
1109,1012,74.46512,21.26203,75.16582,22.46059,1,15
1027,1013,82.46889,21.05608,81.32627,21.26995,1,58
1107,1014,76.48841,20.44085,76.58869,21.69804,1,39
1112,1014,75.53735,20.86998,76.58869,21.69804,1,6
1045,1014,75.51046,21.81312,76.58869,21.69804,1,32
1021,1019,80.90443,22.69803,80.30684,23.42609,1,10
1019,1021,80.30684,23.42609,80.90443,22.69803,1,36
1017,1024,77.81049,22.38259,79.21817,22.84824,1,12
1028,1024,78.20587,23.12694,79.21817,22.84824,1,9
1013,1027,81.32627,21.26995,82.46889,21.05608,1,1
1036,1028,77.28717,23.0446,78.20587,23.12694,1,36
1011,1036,76.52256,22.67308,77.28717,23.0446,1,65
1006,1038,82.50162,22.346,81.47362,23.44278,1,7
1038,1041,81.47362,23.44278,82.29035,24.21751,1,34
1041,1041,82.29035,24.21751,82.29035,24.21751,1,1
2128,1042,79.89588,25.55409,79.09722,24.94068,1,50
1031,1043,75.16381,23.44083,75.74525,23.24383,1,1
1012,1045,75.16582,22.46059,75.51046,21.81312,1,4
1103,1102,77.70041,21.13563,77.26633,20.46873,1,15
1129,1103,78.75904,20.74911,77.70041,21.13563,1,5
3201,1108,79.20456,19.21883,80.13202,19.91142,2,20
1002,1108,81.59129,19.24956,80.13202,19.91142,1,93
3515,1109,73.3594,21.19948,74.46512,21.26203,1,20
1125,1114,74.12142,17.64999,74.0676,16.46655,1,73
1108,1116,80.13202,19.91142,79.28184,21.14024,1,80
3904,1120,77.26767,17.8948,76.48874,18.24584,1,2
1117,1121,77.74759,19.07353,76.92018,19.42133,1,93
3201,1121,79.20456,19.21883,76.92018,19.42133,1,98
1121,1121,76.92018,19.42133,76.92018,19.42133,1,1
3910,1127,76.91079,17.0049,75.52845,17.75869,1,34
3905,1127,75.88293,16.51645,75.52845,17.75869,1,11
1108,1130,80.13202,19.91142,78.34038,20.02906,2,80
1503,1504,86.13021,20.55133,85.15361,20.91898,1,5
1501,1506,83.46086,20.78235,83.0794,20.04661,1,12
1509,1509,86.38347,21.91991,86.38347,21.91991,1,2
3436,1513,85.81518,22.58044,84.6309,22.09994,1,11
3428,1513,84.95271,23.14204,84.6309,22.09994,1,9
1504,1513,85.15361,20.91898,84.6309,22.09994,1,15
2101,1705,78.22629,27.01426,77.51285,26.97845,2,12
1004,1705,78.77831,26.35892,77.51285,26.97845,2,71
1703,1712,74.47372,23.46306,73.91156,23.67334,1,58
1720,1717,76.55582,24.99479,76.30516,24.27206,1,11
1040,1720,77.897,25.26177,76.55582,24.99479,1,98
1723,1725,76.79748,26.34342,75.76411,26.07556,1,14
3503,1726,72.01283,24.22021,72.90612,24.71479,1,4
4009,1902,76.5746,10.80239,77.29972,11.06883,1,14
1914,1902,78.17573,11.91458,77.29972,11.06883,3,5.5
1917,1902,78.67406,10.84702,77.29972,11.06883,1,8
1913,1907,78.39706,9.603162,77.80365,10.13599,1,90
1902,1908,77.29972,11.06883,76.65102,11.44562,1,4
1901,1909,79.93724,12.90973,79.08936,12.62728,1,25
1916,1917,79.42939,10.64944,78.67406,10.84702,1,46
2141,2103,83.0159,24.69676,81.92331,25.39702,2,62
2108,2108,80.87692,25.35996,80.87692,25.35996,1,5
2126,2109,82.16893,27.28645,81.40908,26.94083,1,30
2120,2109,82.41063,26.57983,81.40908,26.94083,1,47
1016,2113,78.20428,25.95193,78.9657,28.0825,1,73
2121,2113,79.62186,27.23097,78.9657,28.0825,1,42
2154,2115,78.55446,30.42417,79.45102,30.52176,2,5
2133,2119,80.08232,26.41814,79.33713,26.69699,2,12
2105,2120,83.24865,26.14552,82.41063,26.57983,1,77
2133,2121,80.08232,26.41814,79.62186,27.23097,1,33
2129,2121,80.19731,27.34675,79.62186,27.23097,1,4
2103,2122,81.92331,25.39702,80.86762,25.8852,1,55
2111,2126,82.76234,27.06276,82.16893,27.28645,1,45
2127,2126,83.3609,26.98942,82.16893,27.28645,1,95
2107,2127,84.12223,26.07393,83.3609,26.98942,1,50
