id_from,id_to,x_from,y_from,x_to,y_to,km
522,CY000K7,78.05,8.75,77.9913,9.322907,64.60207
523,CY000K7,78.15,8.75,77.9913,9.322907,66.67942
524,CY000K7,78.25,8.75,77.9913,9.322907,70.4837
525,CY000K7,78.35,8.75,77.9913,9.322907,75.66003
563,CY000K7,78.05,8.85,77.9913,9.322907,53.51344
564,CY000K7,78.15,8.85,77.9913,9.322907,56.00362
565,CY000K7,78.25,8.85,77.9913,9.322907,60.48316
566,CY000K7,78.35,8.85,77.9913,9.322907,66.44322
604,CY000K7,78.05,8.95,77.9913,9.322907,42.28445
605,CY000K7,78.15,8.95,77.9913,9.322907,45.39483
606,CY000K7,78.25,8.95,77.9913,9.322907,50.81829
607,CY000K7,78.35,8.95,77.9913,9.322907,57.78397
647,CY000K7,78.05,9.05,77.9913,9.322907,31.3119
648,CY000K7,78.15,9.05,77.9913,9.322907,35.39988
649,CY000K7,78.25,9.05,77.9913,9.322907,42.13026
650,CY000K7,78.35,9.05,77.9913,9.322907,50.31349
690,CY000K7,78.05,9.15,77.9913,9.322907,20.54231
691,CY000K7,78.15,9.15,77.9913,9.322907,26.35722
692,CY000K7,78.25,9.15,77.9913,9.322907,34.87851
693,CY000K7,78.35,9.15,77.9913,9.322907,44.41845
696,CV000F3,78.65,9.15,78.58336,9.554776,45.96915
697,CV000F3,78.75,9.15,78.58336,9.554776,49.05616
698,CV000F3,78.85,9.15,78.58336,9.554776,54.2081
699,CV000F3,78.95,9.15,78.58336,9.554776,61.07765
700,CV000F3,79.05,9.15,78.58336,9.554776,68.9299
735,CY000K7,78.05,9.25,77.9913,9.322907,10.61269
736,CY000K7,78.15,9.25,77.9913,9.322907,19.63022
737,CY000K7,78.25,9.25,77.9913,9.322907,30.11899
738,CY000K7,78.35,9.25,77.9913,9.322907,40.78777
741,CV000F3,78.65,9.25,78.58336,9.554776,34.94548
742,CV000F3,78.75,9.25,78.58336,9.554776,38.91696
743,CV000F3,78.85,9.25,78.58336,9.554776,45.23872
744,CV000F3,78.95,9.25,78.58336,9.554776,53.2776
745,CV000F3,79.05,9.25,78.58336,9.554776,62.1237
780,CY000K7,78.05,9.35,77.9913,9.322907,7.309752
781,CY000K7,78.15,9.35,77.9913,9.322907,18.0596
782,CY000K7,78.25,9.35,77.9913,9.322907,29.11969
783,CY000K7,78.35,9.35,77.9913,9.322907,40.05553
786,CV000F3,78.65,9.35,78.58336,9.554776,24.10365
787,CV000F3,78.75,9.35,78.58336,9.554776,29.56907
788,CV000F3,78.85,9.35,78.58336,9.554776,37.50122
789,CV000F3,78.95,9.35,78.58336,9.554776,46.88605
790,CV000F3,79.05,9.35,78.58336,9.554776,56.73759
817,KS000U1,77.15,9.45,77.08945,9.573973,15.46486
818,KS000U1,77.25,9.45,77.08945,9.573973,22.74407
819,KS000U1,77.35,9.45,77.08945,9.573973,32.16193
820,KS000U1,77.45,9.45,77.08945,9.573973,42.55746
821,KS000U1,77.55,9.45,77.08945,9.573973,53.07612
822,CV000U2,77.65,9.45,77.51186,9.925776,55.77106
823,CV000U2,77.75,9.45,77.51186,9.925776,59.84946
824,CV000U2,77.85,9.45,77.51186,9.925776,65.59419
825,CV000U2,77.95,9.45,77.51186,9.925776,72.6108
826,CV000U2,78.05,9.45,77.51186,9.925776,80.56767
827,CV000U2,78.15,9.45,77.51186,9.925776,88.96586
828,CV000U2,78.25,9.45,77.51186,9.925776,98.10712
829,CV000U2,78.35,9.45,77.51186,9.925776,107.6298
830,CV000U2,78.45,9.45,77.51186,9.925776,117.4413
831,CV000U2,78.55,9.45,77.51186,9.925776,127.4747
832,CV000F3,78.65,9.45,78.58336,9.554776,13.87671
833,CV000F3,78.75,9.45,78.58336,9.554776,22.04329
834,CV000F3,78.85,9.45,78.58336,9.554776,31.90483
835,CV000F3,78.95,9.45,78.58336,9.554776,42.54267
836,CV000F3,79.05,9.45,78.58336,9.554776,53.20461
863,KS000U1,77.15,9.55,77.08945,9.573973,7.293559
864,KS000U1,77.25,9.55,77.08945,9.573973,18.20238
865,KS000U1,77.35,9.55,77.08945,9.573973,29.12772
866,KS000U1,77.45,9.55,77.08945,9.573973,40.31342
867,KS000U1,77.55,9.55,77.08945,9.573973,51.29433
868,CV000U2,77.65,9.55,77.51186,9.925776,45.16071
869,CV000U2,77.75,9.55,77.51186,9.925776,50.11025
870,CV000U2,77.85,9.55,77.51186,9.925776,56.84784
871,CV000U2,77.95,9.55,77.51186,9.925776,64.81826
872,CV000U2,78.05,9.55,77.51186,9.925776,73.6222
873,CV000U2,78.15,9.55,77.51186,9.925776,82.72849
874,CV000U2,78.25,9.55,77.51186,9.925776,92.4883
875,CV000U2,78.35,9.55,77.51186,9.925776,102.5342
876,CV000U2,78.45,9.55,77.51186,9.925776,112.7898
877,CV000U2,78.55,9.55,77.51186,9.925776,123.2026
878,CV000F3,78.65,9.55,78.58336,9.554776,7.47774
879,CV000F3,78.75,9.55,78.58336,9.554776,18.68851
880,CV000F3,78.85,9.55,78.58336,9.554776,29.68623
881,CV000F3,78.95,9.55,78.58336,9.554776,40.90517
882,CV000F3,79.05,9.55,78.58336,9.554776,51.90457
911,KS000U1,77.15,9.65,77.08945,9.573973,10.90903
912,KS000U1,77.25,9.65,77.08945,9.573973,19.92832
913,KS000U1,77.35,9.65,77.08945,9.573973,30.23632
914,KS000U1,77.45,9.65,77.08945,9.573973,41.12156
915,KS000U1,77.55,9.65,77.08945,9.573973,51.93188
916,CV000U2,77.65,9.65,77.51186,9.925776,34.61771
917,CV000U2,77.75,9.65,77.51186,9.925776,40.86483
918,CV000U2,77.85,9.65,77.51186,9.925776,48.89349
919,CV000U2,77.95,9.65,77.51186,9.925776,57.96813
920,CV000U2,78.05,9.65,77.51186,9.925776,67.66924
921,CV000U2,78.15,9.65,77.51186,9.925776,77.47838
922,CV000U2,78.25,9.65,77.51186,9.925776,87.82359
923,CV000U2,78.35,9.65,77.51186,9.925776,98.34714
924,CV000U2,78.45,9.65,77.51186,9.925776,108.9974
925,CV000U2,78.55,9.65,77.51186,9.925776,119.7405
926,CV000F3,78.65,9.65,78.58336,9.554776,13.07849
927,CV000F3,78.75,9.65,78.58336,9.554776,21.54973
928,CV000F3,78.85,9.65,78.58336,9.554776,31.56584
