id,x,y
CY000K7,77.9913,9.322907
CV000F3,78.58336,9.554776
KS000U1,77.08945,9.573973
CV000U2,77.51186,9.925776
CC000K5,77.7001,11.47866
CC000G4,78.43365,10.9445
CCG00Q8,76.89145,11.28811
CC000N7,77.73019,12.18014
CP000R5,78.13824,12.55492
CCP00T8,76.12085,11.84717
CC000R5,77.09997,12.1882
CC000Y5,75.96114,12.50194
CCR00B7,76.40103,12.60302
CQ000I7,79.33706,12.9118
CCR00U6,75.78667,12.95237
AKL50T9,76.31641,13.75202
AKLD0C6,75.5771,13.91906
AP000A6,79.99963,14.47106
AP000V5,77.36695,14.19795
AKLA0C4,75.61775,14.93877
AKL00B8,77.94765,15.88435
AKH00G2,79.33564,16.79221
BELNE BRIDGE,73.59679,16.21996
MUDHOL,75.19945,16.3313
AKP00B6,77.12245,16.73726
AK000V1,74.60242,16.68691
AK000X6,74.18927,17.29492
AG000C3,81.64883,17.24263
AGH00C4,79.94364,18.98131
AG000E7,80.88326,17.67564
AG000J3,79.44843,18.83334
AGM00G6,78.43701,18.8211
AG000S9,76.36349,19.22533
AGG00R9,82.02308,19.10752
AGH30E2,79.38128,19.81327
AGH30S9,78.13155,21.10571
EM000G5,84.77607,20.60189
EBI00L3,84.42877,22.64387
EMF00K6,83.22224,20.20451
EMP00A4,82.35858,21.71322
EMG00E5,83.5516,20.97836
EC000R5,85.67538,22.06496
EM000U7,81.87798,20.9752
ES000R3,85.87491,23.36289
EMP00J1,81.69176,21.62696
GYP8OI5,75.63455,23.47965
GYP00V7,75.35355,23.71819
GGTOOT3,81.68794,24.40742
GBG00Z4,87.92129,24.80573
GYP61P7,76.60383,24.42939
GGT00H4,83.95228,24.58558
GGO00L3,87.25594,25.33413
GY000E9,80.15363,25.95969
GGOOOE7,80.84788,26.02823
GYK00N6,77.64787,25.1006
GYK20G7,79.34458,25.0769
GGT00A8,84.80543,25.58099
GYP60B2,76.32462,25.39712
GM000U3,88.24416,26.45733
GGX10M2,81.20562,26.24116
GYP40B4,76.48313,25.68321
TEZPUR,92.81168,26.6126
GGXOOQ3,80.94271,26.86036
GGU00S2,81.4846,27.09361
GYP3VG8,75.77274,26.20676
GY000J7,78.98293,26.74935
GGOOOK6,79.62428,27.40149
BE000J1,89.32557,26.72965
NEAMATIGHAT,94.25174,26.86475
GYP00F4,77.89821,26.65182
GY000N7,78.02388,27.25632
GGU30U4,82.22877,27.43721
TEZU,96.16643,27.90702
GGU60I6,80.55479,28.38461
GY000T1,77.4549,28.22634
GGOOOPI,78.85972,27.93276
GGHOOI9,79.37836,28.27493
GGOOOT2,78.14235,28.7996
GY000P1,77.22053,28.83414
GGHOOP2,78.80212,28.82069
GGU63E9,80.12688,29.50837
GYS00N3,77.45712,29.07118
GG000Y4,78.30441,30.10245
GY000X3,77.3511,30.06938
GGU63K7,80.13506,29.80887
GG200G5,78.99321,30.30001
GY000Y5,77.62309,30.43459
GG100E2,78.47771,30.37797
GG100K4,78.4466,30.72923
GYW00P5,77.2093,30.88265
GYX00M4,77.8465,30.9416
522,78.05,8.75
523,78.15,8.75
524,78.25,8.75
525,78.35,8.75
563,78.05,8.85
564,78.15,8.85
565,78.25,8.85
566,78.35,8.85
604,78.05,8.95
605,78.15,8.95
606,78.25,8.95
607,78.35,8.95
647,78.05,9.05
648,78.15,9.05
649,78.25,9.05
650,78.35,9.05
690,78.05,9.15
691,78.15,9.15
692,78.25,9.15
693,78.35,9.15
696,78.65,9.15
697,78.75,9.15
698,78.85,9.15
699,78.95,9.15
700,79.05,9.15
735,78.05,9.25
736,78.15,9.25
737,78.25,9.25
738,78.35,9.25
741,78.65,9.25
742,78.75,9.25
743,78.85,9.25
744,78.95,9.25
745,79.05,9.25
780,78.05,9.35
781,78.15,9.35
782,78.25,9.35
783,78.35,9.35
786,78.65,9.35
787,78.75,9.35
788,78.85,9.35
789,78.95,9.35
790,79.05,9.35
817,77.15,9.45
818,77.25,9.45
819,77.35,9.45
820,77.45,9.45
821,77.55,9.45
822,77.65,9.45
823,77.75,9.45
824,77.85,9.45
825,77.95,9.45
826,78.05,9.45
827,78.15,9.45
828,78.25,9.45
829,78.35,9.45
830,78.45,9.45
831,78.55,9.45
832,78.65,9.45
833,78.75,9.45
834,78.85,9.45
835,78.95,9.45
836,79.05,9.45
863,77.15,9.55
864,77.25,9.55
865,77.35,9.55
866,77.45,9.55
867,77.55,9.55
868,77.65,9.55
869,77.75,9.55
870,77.85,9.55
871,77.95,9.55
872,78.05,9.55
873,78.15,9.55
874,78.25,9.55
875,78.35,9.55
876,78.45,9.55
877,78.55,9.55
878,78.65,9.55
879,78.75,9.55
880,78.85,9.55
881,78.95,9.55
882,79.05,9.55
911,77.15,9.65
912,77.25,9.65
913,77.35,9.65
914,77.45,9.65
915,77.55,9.65
916,77.65,9.65
917,77.75,9.65
918,77.85,9.65
919,77.95,9.65
920,78.05,9.65
921,78.15,9.65
922,78.25,9.65
923,78.35,9.65
924,78.45,9.65
925,78.55,9.65
926,78.65,9.65
927,78.75,9.65
928,78.85,9.65
929,78.95,9.65
930,79.05,9.65
960,77.15,9.75
961,77.25,9.75
962,77.35,9.75
963,77.45,9.75
964,77.55,9.75
965,77.65,9.75
966,77.75,9.75
967,77.85,9.75
968,77.95,9.75
969,78.05,9.75
970,78.15,9.75
971,78.25,9.75
972,78.35,9.75
973,78.45,9.75
974,78.55,9.75
975,78.65,9.75
976,78.75,9.75
977,78.85,9.75
978,78.95,9.75
979,79.05,9.75
1009,77.15,9.85
1010,77.25,9.85
1011,77.35,9.85
1012,77.45,9.85
1013,77.55,9.85
1014,77.65,9.85
1015,77.75,9.85
1016,77.85,9.85
1017,77.95,9.85
1018,78.05,9.85
1019,78.15,9.85
1020,78.25,9.85
1021,78.35,9.85
1022,78.45,9.85
1023,78.55,9.85
1024,78.65,9.85
1025,78.75,9.85
1026,78.85,9.85
1027,78.95,9.85
1028,79.05,9.85
1060,77.15,9.95
1061,77.25,9.95
1062,77.35,9.95
1063,77.45,9.95
1064,77.55,9.95
1065,77.65,9.95
1066,77.75,9.95
1067,77.85,9.95
1068,77.95,9.95
1069,78.05,9.95
1070,78.15,9.95
1071,78.25,9.95
1072,78.35,9.95
1073,78.45,9.95
1074,78.55,9.95
1111,77.15,10.05
1112,77.25,10.05
1113,77.35,10.05
1114,77.45,10.05
1115,77.55,10.05
1116,77.65,10.05
1117,77.75,10.05
1118,77.85,10.05
1119,77.95,10.05
1120,78.05,10.05
1121,78.15,10.05
1122,78.25,10.05
1123,78.35,10.05
1124,78.45,10.05
1125,78.55,10.05
1438,77.75,10.65
1439,77.85,10.65
1440,77.95,10.65
1441,78.05,10.65
1442,78.15,10.65
1443,78.25,10.65
1444,78.35,10.65
1445,78.45,10.65
1446,78.55,10.65
1447,78.65,10.65
1448,78.75,10.65
1449,78.85,10.65
1450,78.95,10.65
1451,79.05,10.65
1452,79.15,10.65
1453,79.25,10.65
1454,79.35,10.65
1455,79.45,10.65
1456,79.55,10.65
1457,79.65,10.65
1494,77.75,10.75
1495,77.85,10.75
1496,77.95,10.75
1497,78.05,10.75
1498,78.15,10.75
1499,78.25,10.75
1500,78.35,10.75
1501,78.45,10.75
1502,78.55,10.75
1503,78.65,10.75
1504,78.75,10.75
1505,78.85,10.75
1506,78.95,10.75
1507,79.05,10.75
1508,79.15,10.75
1509,79.25,10.75
1510,79.35,10.75
1511,79.45,10.75
1512,79.55,10.75
1513,79.65,10.75
1514,79.75,10.75
1551,77.75,10.85
1552,77.85,10.85
1553,77.95,10.85
1554,78.05,10.85
1555,78.15,10.85
1556,78.25,10.85
1557,78.35,10.85
1558,78.45,10.85
1559,78.55,10.85
1560,78.65,10.85
1561,78.75,10.85
1562,78.85,10.85
1563,78.95,10.85
1564,79.05,10.85
1565,79.15,10.85
1566,79.25,10.85
1567,79.35,10.85
1568,79.45,10.85
1569,79.55,10.85
1570,79.65,10.85
1571,79.75,10.85
1572,79.85,10.85
1608,77.75,10.95
1609,77.85,10.95
1610,77.95,10.95
1611,78.05,10.95
1612,78.15,10.95
1613,78.25,10.95
1614,78.35,10.95
1615,78.45,10.95
1616,78.55,10.95
1617,78.65,10.95
1618,78.75,10.95
1619,78.85,10.95
1620,78.95,10.95
1621,79.05,10.95
1622,79.15,10.95
1623,79.25,10.95
1624,79.35,10.95
1625,79.45,10.95
1626,79.55,10.95
1627,79.65,10.95
1628,79.75,10.95
1629,79.85,10.95
1666,77.75,11.05
1667,77.85,11.05
1668,77.95,11.05
1669,78.05,11.05
1670,78.15,11.05
1671,78.25,11.05
1672,78.35,11.05
1673,78.45,11.05
1674,78.55,11.05
1675,78.65,11.05
1676,78.75,11.05
1677,78.85,11.05
1678,78.95,11.05
1679,79.05,11.05
1680,79.15,11.05
1681,79.25,11.05
1682,79.35,11.05
1683,79.45,11.05
1684,79.55,11.05
1685,79.65,11.05
1686,79.75,11.05
1687,79.85,11.05
1716,76.95,11.15
1717,77.05,11.15
1718,77.15,11.15
1719,77.25,11.15
1720,77.35,11.15
1721,77.45,11.15
1724,77.75,11.15
1725,77.85,11.15
1726,77.95,11.15
1727,78.05,11.15
1728,78.15,11.15
1729,78.25,11.15
1730,78.35,11.15
1731,78.45,11.15
1732,78.55,11.15
1733,78.65,11.15
1734,78.75,11.15
1735,78.85,11.15
1736,78.95,11.15
1737,79.05,11.15
1738,79.15,11.15
1739,79.25,11.15
1740,79.35,11.15
1741,79.45,11.15
1742,79.55,11.15
1743,79.65,11.15
1744,79.75,11.15
1745,79.85,11.15
1774,76.95,11.25
1775,77.05,11.25
1776,77.15,11.25
1777,77.25,11.25
1778,77.35,11.25
1779,77.45,11.25
1782,77.75,11.25
1783,77.85,11.25
1784,77.95,11.25
1785,78.05,11.25
1786,78.15,11.25
1787,78.25,11.25
1788,78.35,11.25
1789,78.45,11.25
1790,78.55,11.25
1791,78.65,11.25
1792,78.75,11.25
1793,78.85,11.25
1794,78.95,11.25
1795,79.05,11.25
1796,79.15,11.25
1797,79.25,11.25
1798,79.35,11.25
1799,79.45,11.25
1800,79.55,11.25
1801,79.65,11.25
1802,79.75,11.25
1803,79.85,11.25
1834,76.95,11.35
1835,77.05,11.35
1836,77.15,11.35
1837,77.25,11.35
1838,77.35,11.35
1839,77.45,11.35
1842,77.75,11.35
1843,77.85,11.35
1844,77.95,11.35
1845,78.05,11.35
1846,78.15,11.35
1847,78.25,11.35
1848,78.35,11.35
1849,78.45,11.35
1850,78.55,11.35
1851,78.65,11.35
1852,78.75,11.35
1853,78.85,11.35
1854,78.95,11.35
1855,79.05,11.35
1856,79.15,11.35
1857,79.25,11.35
1858,79.35,11.35
1859,79.45,11.35
1860,79.55,11.35
1861,79.65,11.35
1862,79.75,11.35
1863,79.85,11.35
1894,76.95,11.45
1895,77.05,11.45
1896,77.15,11.45
1897,77.25,11.45
1898,77.35,11.45
1899,77.45,11.45
1902,77.75,11.45
1903,77.85,11.45
1904,77.95,11.45
1905,78.05,11.45
1906,78.15,11.45
1907,78.25,11.45
1908,78.35,11.45
1909,78.45,11.45
1910,78.55,11.45
1911,78.65,11.45
1912,78.75,11.45
1913,78.85,11.45
1914,78.95,11.45
1915,79.05,11.45
1916,79.15,11.45
1917,79.25,11.45
1918,79.35,11.45
1919,79.45,11.45
1920,79.55,11.45
1921,79.65,11.45
1922,79.75,11.45
1923,79.85,11.45
1954,76.95,11.55
1955,77.05,11.55
1956,77.15,11.55
1957,77.25,11.55
1958,77.35,11.55
1959,77.45,11.55
1960,77.55,11.55
1961,77.65,11.55
1962,77.75,11.55
1963,77.85,11.55
1964,77.95,11.55
1965,78.05,11.55
1966,78.15,11.55
1967,78.25,11.55
1968,78.35,11.55
1969,78.45,11.55
1970,78.55,11.55
1971,78.65,11.55
1972,78.75,11.55
1973,78.85,11.55
1974,78.95,11.55
1975,79.05,11.55
1976,79.15,11.55
1977,79.25,11.55
1978,79.35,11.55
1979,79.45,11.55
1980,79.55,11.55
1981,79.65,11.55
1982,79.75,11.55
1983,79.85,11.55
