zip,group
1,1
2,3
7,2
8,2
10,3
11,4
12,3
13,4
14,2
15,2
16,4
17,3
18,3
19,3
20,3
21,1
22,2
24,2
25,3
26,2
27,3
28,1
29,2
30,1
31,2
32,1
33,2
34,2
36,1
38,1
39,2
40,1
42,3
44,1
45,1
47,1
48,1
52,2
55,4
56,1
58,2
60,2
61,1
64,1
70,2
72,3
75,3
79,2
89,1
90,1
95,3
100,1
104,1
106,4
110,2
115,1
116,1
125,2
127,1
128,2
136,1
137,1
139,1
142,1
144,1
145,2
146,1
148,3
154,1
158,3
166,1
172,1
185,1
187,2
198,2
200,2
213,1
219,1
222,2
224,1
255,1
279,1
301,2
307,1
312,2
321,1
330,1
338,2
349,1
382,2
402,1
406,2
412,1
415,1
418,1
423,2
429,2
431,1
445,2
452,1
501,4
505,1
511,1
514,1
518,2
521,1
522,3
523,2
524,4
529,3
532,1
539,2
543,1
556,1
566,1
572,1
601,1
606,2
613,2
614,1
616,1
617,3
624,2
627,2
636,1
647,2
666,1
678,1
721,2
733,1
736,1
737,1
745,1
785,2
802,1
805,1
823,1
831,1
863,1
867,1
870,2
880,1
883,2
893,1
903,2
907,1
909,1
911,1
918,2
919,1
923,1
927,1
948,1
952,3
953,1
966,1
969,2
970,1
1000,1
1001,3
1002,3
1006,1
1009,2
1016,1
1027,4
1028,1
1030,1
1050,2
1056,1
1057,1
1062,3
1090,1
1098,1
1100,2
1106,3
1108,1
1114,2
1145,1
1200,1
1202,1
1204,1
1217,1
1220,1
1223,1
1230,2
1240,1
1245,2
1266,2
1267,4
1321,1
1331,1
1341,1
1376,2
1405,1
1460,3
1462,1
1484,2
1510,1
1532,3
1545,2
1581,2
1590,1
1602,1
1653,1
1701,3
1702,2
1719,4
1720,3
1730,4
1731,1
1733,1
1741,2
1742,1
1749,1
1752,3
1757,1
1760,1
1776,3
1778,3
1801,4
1803,4
1810,3
1821,2
1824,2
1835,2
1840,1
1845,3
1852,1
1855,2
1864,2
1867,1
1876,3
1880,3
1887,2
1900,3
1906,1
1907,3
1915,2
1923,2
1930,2
1938,2
1944,2
1945,4
1946,1
1949,1
1950,2
1960,2
1970,2
2000,4
2004,1
2005,3
2007,1
2008,3
2016,1
2019,2
2021,4
2025,2
2028,1
2030,2
2035,1
2043,4
