"statetownid","x","y","pc11_state_id","pc11_town_id","polemp_all","emp_all","polemp_051","polemp_052","polemp_061","polemp_062","polemp_071","polemp_072","polemp_081","polemp_089","polemp_091","polemp_099","polemp_101","polemp_104","polemp_105","polemp_106","polemp_110","polemp_120","polemp_131","polemp_139","polemp_141","polemp_151","polemp_170","polemp_191","polemp_192","polemp_201","polemp_202","polemp_203","polemp_210","polemp_221","polemp_222","polemp_231","polemp_239","polemp_241","polemp_242","polemp_243","polemp_251","polemp_252","polemp_259","polemp_261","polemp_262","polemp_263","polemp_264","polemp_266","polemp_271","polemp_272","polemp_273","polemp_274","polemp_275","polemp_279","polemp_281","polemp_282","polemp_291","polemp_292","polemp_293","polemp_302","polemp_303","polemp_304","polemp_309","polemp_325","polemp_351","polemp_352"
"01000123",74.3811464646847,34.4227248401524,"01","000123",5,144,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000124",74.1843812002786,34.4920621972736,"01","000124",2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000125",74.1331075580572,34.4613801899455,"01","000125",14,182,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"01000126",74.1078127340005,34.4536227375161,"01","000126",65,827,2,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"01000127",74.049681545589,34.440083854355,"01","000127",140,1192,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,3,3
"01000128",74.2241334136233,34.4245203630834,"01","000128",52,542,0,0,0,0,0,0,0,0,0,0,6,0,2,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"01000369",73.7377651688199,34.3552953556337,"01","000369",81,666,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,32,7
"01000370",73.7254027157893,34.3205947398223,"01","000370",4,281,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000720",74.7594020234991,33.9810430942336,"01","000720",341,1090,0,0,0,0,0,0,0,0,0,0,7,0,2,27,0,0,205,0,44,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
"01000829",74.8101157975407,33.9325385586068,"01","000829",141,797,3,0,0,0,0,0,0,0,0,0,4,0,43,9,0,0,29,2,19,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"01000830",74.8227468581533,34.0022278672541,"01","000830",45,383,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"01001233",74.2730758679444,33.5683443830286,"01","001233",4,84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01002834",74.8721142818329,34.0297322414223,"01","002834",95,829,0,0,0,0,0,0,0,0,0,0,2,1,37,0,0,0,7,11,21,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01002835",74.8516416861328,34.0309823470598,"01","002835",76,599,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,0,1,18,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"01002883",74.6686739190934,34.2534220726577,"01","002883",162,1108,0,0,0,0,0,0,46,0,0,0,0,0,0,1,0,0,55,0,0,34,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"01002958",74.8101223711513,34.2672697939892,"01","002958",32,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"01004954",75.0261989691105,32.8562662903831,"01","004954",106,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,54,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,29,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"01004955",75.0999643024839,32.8648600413236,"01","004955",436,796,0,0,0,0,0,0,0,0,0,0,5,0,0,26,0,0,0,0,6,0,0,0,0,37,6,0,145,6,0,0,104,4,0,0,11,0,13,0,0,0,0,0,0,14,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,17
"01005415",74.7607359288151,33.0804270532281,"01","005415",62,295,0,0,0,0,0,0,23,0,0,0,0,0,1,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005416",74.8216346167023,33.091156759266,"01","005416",14,384,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005963",74.7793390394751,32.8160374354488,"01","005963",35,1357,0,0,0,0,0,0,0,0,0,2,0,1,7,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"01005964",74.7710976589701,32.7828575429664,"01","005964",97,1842,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,0,0,0,14,2,11,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"01005965",74.8805731142888,32.6422105923103,"01","005965",22,249,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
