indiaid_from,id_to,x_from,y_from,x_to,y_to
1106,1001,80.23398036,21.13018072,80.54193126,21.86020718
1037,1001,79.8280713,22.2550131,80.54193126,21.86020718
1013,1001,81.32626844,21.26994729,80.54193126,21.86020718
1017,1003,77.8104896,22.38259343,78.00128857,21.79242641
1103,1003,77.70041327,21.13562561,78.00128857,21.79242641
2128,1007,79.8958828,25.55409079,79.77479972,24.74007057
2132,1007,78.85129721,25.03858213,79.77479972,24.74007057
1003,1008,78.00128857,21.79242641,78.98572332,22.0361517
1025,1009,80.28503443,24.39143676,79.6373866,23.76041982
1004,1010,78.77831094,26.35892033,78.62309379,25.77994347
1014,1011,76.58869099,21.69803819,76.52256319,22.67308111
1020,1012,74.58065081,22.57067543,75.16582316,22.46059485
1045,1012,75.51045547,21.81312453,75.16582316,22.46059485
1027,1013,82.46889114,21.05607756,81.32626844,21.26994729
1040,1015,77.8969993,25.26177386,77.58041604,24.48664773
1044,1015,77.91267095,23.79652458,77.58041604,24.48664773
1010,1016,78.62309379,25.77994347,78.20427906,25.95193052
1036,1017,77.28717262,23.04460362,77.8104896,22.38259343
1012,1018,75.16582316,22.46059485,75.8510708,22.64224895
1043,1018,75.74525385,23.24382803,75.8510708,22.64224895
1011,1018,76.52256319,22.67308111,75.8510708,22.64224895
1009,1019,79.6373866,23.76041982,80.30683774,23.42609189
3512,1020,73.89228022,22.83564723,74.58065081,22.57067543
1019,1021,80.30683774,23.42609189,80.90443345,22.69803278
1038,1021,81.47362205,23.44278364,80.90443345,22.69803278
1001,1021,80.54193126,21.86020718,80.90443345,22.69803278
1016,1023,78.20427906,25.95193052,77.46504467,25.97081708
1723,1023,76.7974774,26.34342335,77.46504467,25.97081708
1035,1025,80.90511871,24.52385353,80.28503443,24.39143676
1007,1025,79.77479972,24.74007057,80.28503443,24.39143676
1513,1026,84.63089782,22.0999402,83.80404653,22.50418918
1717,1029,76.30516496,24.27205984,76.8277193,23.77771475
1703,1031,74.47371879,23.46305602,75.16381092,23.44082568
2103,1032,81.92330611,25.39701959,81.70129761,24.75345678
1015,1033,77.58041604,24.48664773,78.84608476,23.77041987
1026,1034,83.80404653,22.50418918,83.08179807,23.42264913
1041,1034,82.29034976,24.21751446,83.08179807,23.42264913
1006,1034,82.50161942,22.34600295,83.08179807,23.42264913
3428,1034,84.95271267,23.1420449,83.08179807,23.42264913
2108,1035,80.87691849,25.35996171,80.90511871,24.52385353
1024,1037,79.21816894,22.8482383,79.8280713,22.2550131
1029,1039,76.8277193,23.77771475,76.42058763,23.49937023
1023,1040,77.46504467,25.97081708,77.8969993,25.26177386
2141,1041,83.01590222,24.69675612,82.29034976,24.21751446
1032,1041,81.70129761,24.75345678,82.29034976,24.21751446
1039,1043,76.42058763,23.49937023,75.74525385,23.24382803
1031,1043,75.16381092,23.44082568,75.74525385,23.24382803
1028,1044,78.20586935,23.12693755,77.91267095,23.79652458
1112,1045,75.53735363,20.86998365,75.51045547,21.81312453
1118,1101,74.07251652,20.2185531,74.67568453,19.17805335
1130,1102,78.34037882,20.02906298,77.26633461,20.46873033
1107,1104,76.4884144,20.4408461,75.58554253,19.89408287
1121,1105,76.92018337,19.42133448,75.91850509,18.89662487
1104,1105,75.58554253,19.89408287,75.91850509,18.89662487
1116,1106,79.2818383,21.14024288,80.23398036,21.13018072
1108,1106,80.13201619,19.91141604,80.23398036,21.13018072
1102,1107,77.26633461,20.46873033,76.4884144,20.4408461
3201,1108,79.20456049,19.21882861,80.13201619,19.91141604
1119,1114,73.50586483,16.87806964,74.06760045,16.46654806
1129,1116,78.75904302,20.74910721,79.2818383,21.14024288
1128,1118,73.13698745,19.61468966,74.07251652,20.2185531
3517,1118,73.73926598,20.76011157,74.07251652,20.2185531
1105,1120,75.91850509,18.89662487,76.48873501,18.2458364
3904,1120,77.26766777,17.89479548,76.48873501,18.2458364
1123,1122,73.18780483,18.49267967,74.01812514,18.56417436
1101,1122,74.67568453,19.17805335,74.01812514,18.56417436
1127,1124,75.52844958,17.75868856,74.78181216,17.08387137
3902,1125,74.8138994,16.07592747,74.12141611,17.64999297
1124,1125,74.78181216,17.08387137,74.12141611,17.64999297
1122,1125,74.01812514,18.56417436,74.12141611,17.64999297
1111,1128,72.90870587,19.16197186,73.13698745,19.61468966
1203,1201,93.97392377,24.84144537,93.88120069,24.59540667
3001,1202,92.89076195,23.70931952,93.52863545,24.31189609
1401,1204,93.90632341,25.70635586,94.14302239,25.31428594
1205,1204,93.62039965,25.01817012,94.14302239,25.31428594
1208,1204,94.47398048,25.08564327,94.14302239,25.31428594
1207,1205,94.04742733,24.55100674,93.62039965,25.01817012
1206,1207,94.15451236,24.27612822,94.04742733,24.55100674
1201,1207,93.88120069,24.59540667,94.04742733,24.55100674
1202,1207,93.52863545,24.31189609,94.04742733,24.55100674
1304,1301,90.29419221,25.49796688,90.63495688,25.77731851
3306,1301,91.21193583,26.37881964,90.63495688,25.77731851
3305,1301,90.23246153,26.30924563,90.63495688,25.77731851
3311,1303,92.90832829,25.57889225,92.44361899,25.37617216
3315,1303,92.74366042,24.70811334,92.44361899,25.37617216
1303,1305,92.44361899,25.37617216,91.2476312,25.54062973
1302,1305,91.86287351,25.59000446,91.2476312,25.54062973
1301,1305,90.63495688,25.77731851,91.2476312,25.54062973
3308,1401,93.54586625,26.20019378,93.90632341,25.70635586
3314,1402,94.34444093,26.78559337,94.59905704,26.53791798
3312,1403,94.91612707,27.52559726,95.12611706,26.83179775
1402,1405,94.59905704,26.53791798,94.92903092,26.2863024
1406,1407,94.31917238,26.21797559,94.63567953,26.13220688
1404,1407,94.61636353,25.74548359,94.63567953,26.13220688
1405,1407,94.92903092,26.2863024,94.63567953,26.13220688
1204,1407,94.14302239,25.31428594,94.63567953,26.13220688
1511,1504,85.3889082,20.06512391,85.15361278,20.91897595
1504,1507,85.15361278,20.91897595,85.67785882,21.56106602
1509,1507,86.38347233,21.91991031,85.67785882,21.56106602
3220,1508,82.86277633,17.95350745,82.93428948,19.03679422
1002,1508,81.59129213,19.24955686,82.93428948,19.03679422
3219,1508,83.8544808,18.67757702,82.93428948,19.03679422
1510,1508,84.08197574,20.26671473,82.93428948,19.03679422
1502,1509,86.79916397,21.32839167,86.38347233,21.91991031
3436,1509,85.81517628,22.58044068,86.38347233,21.91991031
1506,1510,83.07939752,20.04661336,84.08197574,20.26671473
1501,1510,83.46085837,20.78235271,84.08197574,20.26671473
1505,1510,84.51835991,19.51371199,84.08197574,20.26671473
1503,1511,86.13021126,20.55133035,85.3889082,20.06512391
1512,1513,84.12321531,21.43358092,84.63089782,22.0999402
1605,1602,74.67283534,30.52143817,75.23114934,30.14519323
1608,1607,75.4309497,31.33190506,75.77859145,31.12359034
1601,1608,74.92446805,31.52153526,75.4309497,31.33190506
1612,1609,75.86486502,30.21767382,75.97897999,30.74858395
1607,1609,75.77859145,31.12359034,75.97897999,30.74858395
1609,1611,75.97897999,30.74858395,76.61625854,30.91945478
2501,1611,76.83607807,30.67570527,76.61625854,30.91945478
1602,1612,75.23114934,30.14519323,75.86486502,30.21767382
1725,1701,75.76411161,26.07556494,74.92424178,26.15048325
1721,1701,74.31232816,27.01763597,74.92424178,26.15048325
1712,1703,73.91156397,23.67333752,74.47371879,23.46305602
2101,1705,78.22629445,27.01426442,77.51285016,26.97844577
1701,1706,74.92424178,26.15048325,74.82460803,25.38924382
1722,1706,73.6494368,25.65505996,74.82460803,25.38924382
1706,1709,74.82460803,25.38924382,74.758412,24.52917244
1022,1709,75.38477499,24.29771563,74.758412,24.52917244
1713,1710,74.0986235,29.30310653,74.70529843,28.21951353
1707,1710,73.17213839,28.16580957,74.70529843,28.21951353
3514,1712,73.22332937,23.61693978,73.91156397,23.67333752
1702,1714,76.68679782,27.54610239,75.97371235,26.88264886
3503,1716,72.01282667,24.22021294,72.36027976,25.07969231
1704,1716,71.53036866,25.71045893,72.36027976,25.07969231
1720,1717,76.55582438,24.99479155,76.30516496,24.27205984
3609,1718,76.38242647,28.23274913,75.65165088,28.01786749
1710,1718,74.70529843,28.21951353,75.65165088,28.01786749
1715,1719,70.9924698,27.08589837,72.94178453,26.70948587
1719,1722,72.94178453,26.70948587,73.6494368,25.65505996
1705,1723,77.51285016,26.97844577,76.7974774,26.34342335
1718,1724,75.65165088,28.01786749,75.43742341,27.55956331
1714,1724,75.97371235,26.88264886,75.43742341,27.55956331
1708,1725,75.86036563,25.39767011,75.76411161,26.07556494
1716,1726,72.36027976,25.07969231,72.90612069,24.71478608
1709,1727,74.758412,24.52917244,73.91912507,24.55246149
1726,1727,72.90612069,24.71478608,73.91912507,24.55246149
1804,1802,88.16231429,27.32950685,88.52412428,27.74052657
2205,1803,88.37927072,26.88173536,88.37587825,27.28210176
1803,1804,88.37587825,27.28210176,88.16231429,27.32950685
1801,1804,88.67120767,27.2677756,88.16231429,27.32950685
1906,1901,80.23929481,13.06940158,79.93724005,12.90973213
1918,1905,77.7352724,8.824954813,77.36029928,8.298418424
4013,1905,77.01774326,8.614493867,77.36029928,8.298418424
1913,1907,78.39705883,9.603161504,77.80364636,10.13598993
1917,1907,78.67406024,10.84701735,77.80364636,10.13598993
4009,1908,76.57460045,10.80238966,76.65102448,11.44561606
3915,1908,76.78743761,12.02585971,76.65102448,11.44561606
1902,1908,77.29971556,11.06883421,76.65102448,11.44561606
4007,1908,75.93038493,11.53712688,76.65102448,11.44561606
1901,1909,79.93724005,12.90973213,79.08935588,12.62727654
1915,1909,79.34552144,11.82426253,79.08935588,12.62727654
3103,1915,79.75167614,11.89309682,79.34552144,11.82426253
3101,1916,79.80476729,10.93077244,79.4293888,10.64944045
1916,1917,79.4293888,10.64944045,78.67406024,10.84701735
2002,2001,91.62901483,23.39952521,92.10604794,24.07953466
2003,2002,91.47487771,23.78826396,91.62901483,23.39952521
2139,2102,77.76358177,27.53770019,78.18518499,27.82223075
2147,2103,81.90029451,25.92109544,81.92330611,25.39701959
2144,2104,79.46497283,29.17979982,79.59783421,29.80281386
2125,2105,83.64905324,25.76194529,83.24865324,26.14551856
2126,2106,82.16893296,27.28645014,81.57256766,27.72301471
2122,2108,80.86762265,25.88520207,80.87691849,25.35996171
2113,2110,78.96570342,28.08250025,79.44802687,28.46018891
2127,2111,83.36090323,26.9894162,82.76234362,27.06276117
2142,2112,78.59631807,28.72776009,78.40325399,29.33681323
2118,2113,78.824575,27.60308425,78.96570342,28.08250025
2102,2114,78.18518499,27.82223075,77.91691546,28.36565645
2146,2115,80.25501645,29.98687132,79.45101835,30.52176207
2150,2116,77.7415751,29.88239399,77.96900579,30.43319408
2138,2118,79.00398583,27.18449016,78.824575,27.60308425
2129,2121,80.19731431,27.34675254,79.62186345,27.23097362
2112,2123,78.40325399,29.33681323,78.75730135,29.87206278
2111,2126,82.76234362,27.06276117,82.16893296,27.28645014
2117,2127,83.85776777,26.75270923,83.36090323,26.9894162
2130,2128,79.47866907,26.06702002,79.8958828,25.55409079
2152,2129,80.86837984,27.53767551,80.19731431,27.34675254
2133,2130,80.08232418,26.41813662,79.47866907,26.06702002
2105,2131,83.24865324,26.14551856,82.65063807,25.81657574
1042,2132,79.09722027,24.94067869,78.85129721,25.03858213
2155,2133,80.59601093,26.64781389,80.08232418,26.41813662
2148,2137,81.27521708,26.26412207,80.95028727,26.88266981
2109,2137,81.40908449,26.94082744,80.95028727,26.88266981
2121,2138,79.62186345,27.23097362,79.00398583,27.18449016
2119,2138,79.33713044,26.69698856,79.00398583,27.18449016
2114,2140,77.91691546,28.36565645,77.64949523,28.91962822
