zip,voter_person,volunteer_person
00001,1.0,0.0
00002,3.0,0.0
00007,3.0,0.0
00008,2.0,0.0
00010,12.0,0.0
00011,24.0,0.0
00012,17.0,0.0
00013,17.0,0.0
00014,5.0,0.0
00015,8.0,0.0
00016,5.0,0.0
00017,12.0,0.0
00018,6.0,0.0
00019,6.0,0.0
00020,41.0,0.0
00021,1.0,0.0
00022,8.0,0.0
00023,2.0,0.0
00024,3.0,0.0
00025,7.0,0.0
00026,12.0,0.0
00027,5.0,0.0
00028,6.0,0.0
00029,4.0,0.0
00030,6.0,0.0
00031,2.0,0.0
00032,2.0,0.0
00033,1.0,0.0
00034,4.0,0.0
00035,1.0,0.0
00036,7.0,0.0
00038,11.0,0.0
00039,2.0,0.0
00040,11.0,0.0
00041,4.0,0.0
00042,7.0,0.0
00043,4.0,0.0
00044,2.0,0.0
00045,2.0,0.0
00046,4.0,0.0
00047,6.0,0.0
00048,2.0,0.0
00052,2.0,0.0
00055,7.0,0.0
00056,4.0,0.0
00057,1.0,0.0
00058,4.0,0.0
00060,16.0,0.0
00061,2.0,0.0
00062,6.0,0.0
00063,1.0,0.0
00064,5.0,0.0
00066,1.0,0.0
00070,6.0,0.0
00072,6.0,0.0
00075,1.0,0.0
00079,3.0,0.0
00081,3.0,0.0
00083,1.0,0.0
00089,1.0,0.0
00090,5.0,0.0
00091,8.0,0.0
00092,1.0,0.0
00094,1.0,0.0
00095,9.0,0.0
00096,1.0,0.0
00100,3.0,0.0
00103,1.0,0.0
00104,1.0,0.0
00106,21.0,0.0
00107,0.0,0.0
00110,2.0,0.0
00115,1.0,0.0
00116,1.0,0.0
00120,3.0,0.0
00125,2.0,0.0
00127,1.0,0.0
00128,0.0,0.0
00132,0.0,0.0
00136,2.0,0.0
00137,2.0,0.0
00139,2.0,0.0
00141,2.0,0.0
00142,1.0,0.0
00144,1.0,0.0
00145,6.0,0.0
00146,2.0,0.0
00148,4.0,0.0
00154,2.0,0.0
00158,1.0,0.0
00166,1.0,0.0
00172,1.0,0.0
00179,1.0,0.0
00185,1.0,0.0
00187,3.0,0.0
00198,2.0,0.0
00200,3.0,0.0
00213,2.0,0.0
00214,2.0,0.0
00219,1.0,0.0
00222,2.0,0.0
00224,1.0,0.0
00255,1.0,0.0
00279,2.0,0.0
00301,3.0,0.0
00302,1.0,0.0
00307,1.0,0.0
00312,2.0,0.0
00321,1.0,0.0
00330,2.0,0.0
00338,2.0,0.0
00349,2.0,0.0
00382,2.0,0.0
00402,1.0,0.0
00406,1.0,0.0
00413,4.0,0.0
00415,2.0,0.0
00418,5.0,0.0
00423,2.0,0.0
00429,2.0,0.0
00431,1.0,0.0
00445,0.0,0.0
00446,1.0,0.0
00452,1.0,0.0
00457,1.0,0.0
00458,1.0,0.0
00501,89.0,0.0
00505,2.0,0.0
00511,2.0,0.0
00514,1.0,0.0
00521,1.0,0.0
00522,2.0,0.0
00523,2.0,0.0
00526,0.0,0.0
00529,6.0,0.0
00532,1.0,0.0
00543,2.0,0.0
00556,1.0,0.0
00566,2.0,0.0
00572,2.0,0.0
00601,2.0,0.0
00606,5.0,0.0
00613,1.0,0.0
00614,1.0,0.0
00616,1.0,0.0
00617,2.0,0.0
00624,1.0,0.0
00627,2.0,0.0
00647,2.0,0.0
00662,2.0,0.0
00663,1.0,0.0
00666,1.0,0.0
00673,1.0,0.0
00678,1.0,0.0
00721,3.0,0.0
00733,1.0,0.0
00736,1.0,0.0
00737,1.0,0.0
00745,2.0,0.0
00785,3.0,0.0
00802,1.0,0.0
00804,3.0,0.0
00805,0.0,0.0
00823,2.0,0.0
00831,2.0,0.0
00863,1.0,0.0
00867,2.0,0.0
00870,2.0,0.0
00880,1.0,0.0
00883,2.0,0.0
00893,2.0,0.0
00903,2.0,0.0
00908,2.0,0.0
00909,1.0,0.0
00911,2.0,0.0
00918,1.0,0.0
00919,2.0,0.0
00923,3.0,0.0
00948,1.0,0.0
00950,1.0,0.0
00952,2.0,0.0
00953,1.0,0.0
00966,2.0,0.0
00969,2.0,0.0
00970,1.0,0.0
00988,1.0,0.0
01000,1.0,0.0
01001,10.0,0.0
01002,22.0,0.0
01003,2.0,0.0
01006,2.0,0.0
01016,2.0,0.0
01027,12.0,0.0
01028,1.0,0.0
01030,2.0,0.0
01035,1.0,1.0
01050,3.0,0.0
01055,2.0,0.0
01056,1.0,0.0
01057,2.0,0.0
01062,4.0,0.0
01075,6.0,0.0
01090,0.0,0.0
01098,2.0,0.0
01106,2.0,0.0
01108,1.0,0.0
01114,0.0,0.0
01145,1.0,0.0
01200,1.0,0.0
01202,1.0,0.0
01204,1.0,0.0
01217,1.0,0.0
01220,1.0,0.0
01223,2.0,0.0
01230,3.0,0.0
01238,2.0,0.0
01240,3.0,0.0
01245,3.0,0.0
01266,3.0,0.0
01321,1.0,0.0
01331,1.0,0.0
01341,2.0,0.0
01370,0.0,3.0
01376,2.0,0.0
01405,1.0,0.0
01460,9.0,0.0
01484,2.0,0.0
01510,1.0,0.0
01532,3.0,0.0
01536,3.0,0.0
01545,2.0,0.0
01581,2.0,0.0
01590,2.0,0.0
01602,1.0,0.0
01609,4.0,0.0
01610,1.0,0.0
01653,1.0,0.0
01701,5.0,0.0
01702,3.0,0.0
01719,10.0,0.0
01720,7.0,0.0
01730,17.0,0.0
01731,1.0,0.0
01741,3.0,0.0
01742,5.0,0.0
01749,1.0,0.0
01752,8.0,3.0
01757,1.0,0.0
01760,4.0,0.0
01772,1.0,0.0
01776,5.0,3.0
01778,4.0,0.0
01801,16.0,0.0
01803,25.0,0.0
01810,4.0,0.0
01821,3.0,0.0
01824,4.0,0.0
01832,1.0,0.0
01835,3.0,0.0
01845,4.0,3.0
01851,3.0,0.0
01852,2.0,0.0
01855,2.0,0.0
01864,2.0,0.0
01867,1.0,0.0
01876,8.0,0.0
01880,6.0,0.0
01887,10.0,0.0
01900,4.0,0.0
01906,2.0,0.0
01907,6.0,0.0
01915,2.0,4.0
01923,5.0,0.0
01930,5.0,0.0
01938,1.0,0.0
01944,3.0,2.0
01946,2.0,0.0
01949,1.0,0.0
01950,2.0,0.0
01960,3.0,0.0
01970,3.0,1.0
02000,10.0,0.0
02003,2.0,0.0
02004,1.0,0.0
02005,4.0,0.0
02007,1.0,0.0
02008,2.0,0.0
02021,12.0,0.0
02025,2.0,0.0
02026,1.0,0.0
02028,1.0,0.0
02030,3.0,0.0
02035,1.0,0.0
02043,12.0,0.0
02048,1.0,0.0
02050,6.0,0.0
02053,2.0,0.0
02060,2.0,0.0
02061,3.0,0.0
02066,3.0,0.0
02067,8.0,0.0
02075,2.0,0.0
02090,11.0,0.0
02093,0.0,17.0
02108,12.0,0.0
02109,15.0,0.0
02110,56.0,0.0
02111,15.0,0.0
02112,2.0,0.0
02113,3.0,0.0
02114,10.0,0.0
02115,7.0,0.0
02116,35.0,0.0
02117,1.0,0.0
02118,4.0,0.0
02119,3.0,0.0
02120,2.0,5.0
02121,2.0,0.0
02124,4.0,1.0
02125,5.0,0.0
02127,13.0,0.0
02129,7.0,3.0
02130,7.0,2.0
02131,11.0,0.0
02132,4.0,0.0
02134,1.0,0.0
02135,6.0,61.0
02136,4.0,0.0
02138,150.0,16.0
02139,53.0,2.0
02140,17.0,0.0
02141,1.0,0.0
02142,20.0,6.0
02143,9.0,2.0
02144,13.0,47.0
02145,2.0,2.0
02148,5.0,0.0
02149,3.0,0.0
02151,2.0,0.0
02152,1.0,0.0
02155,5.0,0.0
02157,1.0,0.0
02159,1.0,0.0
02163,2.0,0.0
02164,3.0,0.0
02167,7.0,0.0
02169,5.0,0.0
02170,3.0,0.0
02176,1.0,0.0
02184,4.0,0.0
02185,2.0,0.0
02186,1.0,0.0
02189,0.0,1.0
02191,1.0,0.0
02199,12.0,0.0
02200,0.0,0.0
02201,2.0,0.0
02203,4.0,0.0
02204,2.0,0.0
02210,23.0,0.0
02211,1.0,0.0
02215,13.0,0.0
02238,1.0,0.0
02245,1.0,0.0
02324,1.0,0.0
02331,6.0,0.0
02338,1.0,0.0
02346,2.0,0.0
02347,0.0,1.0
02360,2.0,0.0
02370,4.0,0.0
02420,5.0,0.0
02421,3.0,1.0
02445,8.0,2.0
02446,15.0,0.0
02451,33.0,0.0
02452,11.0,0.0
02453,1.0,0.0
02454,2.0,0.0
02458,12.0,0.0
02459,9.0,0.0
02460,5.0,0.0
02461,4.0,0.0
02462,11.0,0.0
02464,2.0,0.0
02465,4.0,0.0
02466,6.0,1.0
02467,9.0,1.0
02468,3.0,0.0
02472,8.0,0.0
02474,4.0,0.0
02476,10.0,0.0
02478,13.0,0.0
02481,9.0,0.0
02482,5.0,2.0
02492,4.0,0.0
02493,22.0,0.0
02494,14.0,0.0
02509,3.0,0.0
02522,2.0,0.0
02535,0.0,2.0
02536,1.0,0.0
02539,10.0,0.0
02540,4.0,0.0
02554,5.0,0.0
02563,2.0,0.0
02568,3.0,0.0
02601,1.0,0.0
02609,0.0,1.0
02631,0.0,0.0
02635,1.0,0.0
02639,1.0,0.0
02648,2.0,0.0
02653,1.0,0.0
02655,3.0,0.0
02657,2.0,0.0
02666,1.0,0.0
02675,1.0,0.0
02703,1.0,2.0
02719,1.0,0.0
02724,1.0,0.0
02740,0.0,60.0
02748,1.0,0.0
02760,1.0,0.0
02762,4.0,0.0
02766,2.0,0.0
02771,4.0,0.0
02777,0.0,0.0
02789,0.0,1.0
02790,1.0,0.0
02806,30.0,0.0
02807,2.0,0.0
02809,12.0,0.0
02812,1.0,0.0
02815,1.0,0.0
02816,0.0,1.0
02817,1.0,1.0
02818,4.0,15.0
02827,1.0,0.0
02829,2.0,0.0
02830,1.0,0.0
02831,1.0,0.0
02832,1.0,0.0
02835,1.0,0.0
02838,1.0,0.0
02840,5.0,0.0
02841,0.0,1.0
02842,0.0,1.0
02852,8.0,3.0
02860,5.0,2.0
02861,2.0,0.0
02863,4.0,1.0
02864,1.0,0.0
02865,6.0,0.0
02871,3.0,0.0
02874,1.0,2.0
02879,10.0,4.0
02881,1.0,1.0
02882,4.0,0.0
02883,1.0,0.0
02885,10.0,3.0
02886,4.0,3.0
02888,4.0,1.0
02889,4.0,3.0
02891,4.0,0.0
02892,8.0,1.0
02893,1.0,2.0
02896,4.0,0.0
02898,1.0,0.0
02903,16.0,2.0
02904,3.0,3.0
02905,6.0,3.0
02906,25.0,13.0
02907,1.0,1.0
02908,2.0,3.0
02909,3.0,1.0
02910,2.0,0.0
02911,6.0,0.0
02912,2.0,1.0
02916,1.0,1.0
02917,7.0,1.0
02918,0.0,1.0
02919,0.0,2.0
02920,6.0,5.0
02921,2.0,1.0
02982,1.0,0.0
03000,1.0,0.0
03016,1.0,0.0
03033,1.0,0.0
03038,1.0,4.0
03045,3.0,0.0
03049,2.0,0.0
03051,0.0,1.0
03053,0.0,0.0
03055,4.0,0.0
03060,2.0,0.0
03062,3.0,0.0
03064,1.0,0.0
03079,1.0,0.0
03101,5.0,0.0
03104,2.0,0.0
03106,1.0,0.0
03109,0.0,1.0
03212,4.0,0.0
03235,1.0,0.0
03242,1.0,0.0
03255,2.0,0.0
03257,3.0,0.0
03282,0.0,2.0
03301,3.0,0.0
03302,1.0,0.0
03393,1.0,0.0
03400,0.0,0.0
03431,2.0,0.0
03465,4.0,0.0
03502,1.0,0.0
03526,1.0,0.0
03700,1.0,0.0
03725,1.0,0.0
03743,1.0,0.0
03750,1.0,0.0
03753,1.0,0.0
03755,3.0,0.0
03782,3.0,0.0
03801,5.0,0.0
03810,0.0,0.0
03820,5.0,0.0
03824,5.0,0.0
03825,2.0,0.0
03833,3.0,0.0
03838,1.0,0.0
03841,1.0,0.0
03857,0.0,2.0
03860,0.0,2.0
03862,2.0,0.0
03868,0.0,2.0
