zip,campaign_id,name,is_active,state,state_id,cd,STUSAB,race,voter_person,volunteer_person
62002,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62010,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62018,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62024,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62025,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62035,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62040,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62048,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62059,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62060,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62067,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62084,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62087,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62090,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62095,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62201,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62203,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62204,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62205,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62206,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62207,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62208,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62217,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62220,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62221,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,4.0,0.0
62223,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62225,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62226,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,7.0,0.0
62232,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62233,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62234,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62236,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62237,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62238,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62239,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62240,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62241,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62242,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62243,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62244,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62248,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62254,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62255,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62257,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62258,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62260,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,0.0,0.0
62263,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62264,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62265,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62268,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62269,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,4.0,0.0
62272,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62274,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62277,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62278,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62280,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62282,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62285,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62286,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62288,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62289,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62292,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62293,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62294,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62295,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62298,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62801,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62808,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62810,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62812,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62814,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62816,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62819,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62822,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62825,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62830,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62831,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62832,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,2.0,0.0
62836,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62841,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62846,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62851,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62856,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62860,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62864,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62865,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62872,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62874,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62877,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62884,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62888,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62890,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62891,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62893,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62894,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62896,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62897,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62898,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62901,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62902,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62903,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62905,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62906,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62907,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62912,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62914,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62915,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62916,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62917,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62918,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62920,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62921,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62922,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62923,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62924,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62926,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62927,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62932,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62933,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62939,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62940,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62941,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62942,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62948,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62949,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
