volunteer_zip_code,voter_zip_code,messaged,not_messaged,all
02124,20036,0,1,1
02135,01730,0,1,1
02135,02458,0,1,1
02135,02536,0,1,1
02135,05743,0,1,1
02135,10570,0,3,3
02135,10950,0,4,4
02135,12208,0,3,3
02135,90035,0,1,1
02138,00026,0,1,1
02138,37205,0,1,1
02138,37206,0,1,1
02138,37209,0,1,1
02138,66506,0,1,1
02138,90026,0,1,1
02139,02139,0,1,1
02139,54865,0,1,1
02139,55417,0,1,1
02143,93117,0,2,2
02189,25443,0,1,1
02818,02920,0,1,1
02879,02982,0,1,1
02889,02827,0,1,1
02889,02889,0,1,1
02892,02812,0,1,1
02892,02830,0,1,1
02892,02832,0,1,1
02892,02852,0,3,3
02892,02879,0,4,4
02892,02881,0,1,1
02892,02882,0,1,1
02892,02883,0,1,1
02892,02886,0,2,2
02892,02888,0,1,1
02892,02889,0,1,1
02892,02892,0,1,1
02892,02893,0,1,1
02892,02898,0,1,1
02892,02905,0,2,2
02892,02908,0,1,1
02892,02910,0,1,1
02892,02916,0,1,1
02892,02917,0,1,1
02892,02921,0,2,2
02905,02806,0,1,1
02905,02911,0,1,1
02905,46220,0,1,1
02918,02903,0,1,1
02921,02831,0,1,1
03109,61401,0,1,1
03109,61410,0,1,1
03109,61448,0,1,1
03109,61614,0,2,2
03109,61615,0,1,1
04101,01752,0,1,1
04101,02907,0,1,1
04101,04101,0,1,1
04101,04106,0,1,1
04101,04332,0,1,1
04101,07099,0,1,1
04101,10018,0,1,1
04101,10036,0,1,1
04101,20036,0,2,2
04101,21758,0,1,1
04101,28403,0,1,1
04101,48075,0,1,1
04101,48864,0,1,1
04101,50677,0,1,1
04101,52240,0,1,1
04101,53208,0,1,1
04101,85251,0,1,1
04101,90005,0,1,1
04101,90032,0,1,1
04101,90057,0,1,1
04101,98058,0,1,1
04101,98362,0,1,1
04101,98391,0,1,1
04107,02771,0,4,4
04107,02806,0,24,24
04107,02809,0,8,8
04107,02885,0,4,4
04107,02903,0,4,4
04107,02917,0,4,4
04107,60014,0,4,4
04240,01376,0,2,2
04240,02476,0,4,4
04240,22044,0,1,1
04240,22046,0,4,4
04240,22180,0,2,2
04240,24551,0,2,2
04240,27312,0,2,2
04901,11354,0,1,1
04901,55427,0,1,1
05081,05452,0,1,1
05081,92692,0,1,1
05149,05701,0,1,1
05149,20852,0,1,1
05156,03743,0,1,1
05251,05251,0,4,4
05251,05301,0,2,2
05301,01027,0,3,3
05301,01341,0,2,2
05301,01970,0,3,3
05301,05146,0,2,2
05301,05301,0,7,7
05301,05302,0,1,1
05301,05346,0,3,3
05301,06247,0,3,3
05301,06810,0,2,2
05301,10001,0,3,3
05301,10954,0,2,2
05301,10960,0,2,2
05301,10977,0,1,1
05301,18041,0,3,3
05301,33510,0,1,1
05301,33764,0,3,3
05346,05403,0,1,1
05401,00070,0,1,1
05401,01230,0,1,1
05401,01720,0,1,1
05401,02127,0,1,1
05401,02144,0,2,2
05401,02472,0,1,1
05401,02554,0,1,1
05401,02908,0,1,1
05401,05401,0,6,6
05401,05403,0,3,3
05401,05404,0,1,1
05401,05405,0,1,1
05401,05408,0,1,1
05401,05443,0,1,1
05401,05446,0,2,2
05401,05482,0,1,1
05401,05489,0,1,1
05401,05641,0,1,1
05401,05843,0,1,1
05401,06335,0,1,1
05401,06831,0,1,1
05401,10003,0,12,12
05401,10009,0,1,1
05401,10016,0,2,2
05401,10017,0,1,1
05401,10022,0,1,1
05401,10024,0,1,1
05401,10028,0,1,1
05401,10128,0,1,1
05401,12203,0,1,1
05401,12304,0,1,1
05401,12524,0,1,1
05401,12622,0,1,1
05401,20001,0,1,1
05401,20002,0,2,2
05401,20003,0,1,1
05401,20004,0,1,1
05401,20005,0,18,18
05401,20006,0,2,2
05401,20007,0,2,2
05401,20009,0,5,5
05401,20010,0,1,1
05401,20011,0,2,2
05401,20024,0,2,2
05401,20036,0,2,2
05401,20191,0,1,1
05401,20420,0,1,1
05401,20530,0,1,1
05401,20781,0,1,1
05401,20782,0,1,1
05401,20830,0,1,1
05401,20850,0,1,1
05401,22203,0,2,2
05401,22204,0,1,1
05401,22303,0,1,1
05401,22311,0,2,2
05401,29690,0,1,1
05401,32164,0,1,1
05401,32205,0,1,1
05401,32211,0,1,1
05401,32217,0,1,1
05401,32224,0,1,1
05401,32256,0,1,1
05401,32257,0,2,2
05401,32301,0,14,14
05401,32303,0,15,15
05401,32304,0,3,3
05401,32308,0,11,11
05401,32309,0,4,4
05401,32310,0,2,2
05401,32311,0,4,4
05401,32312,0,3,3
05401,32317,0,5,5
05401,32327,0,1,1
05401,32399,0,3,3
05401,32435,0,1,1
05401,32459,0,1,1
05401,32466,0,1,1
05401,32503,0,1,1
05401,32609,0,2,2
05401,32801,0,1,1
05401,32803,0,2,2
05401,32804,0,1,1
05401,32853,0,1,1
05401,33010,0,1,1
05401,33020,0,1,1
05401,33027,0,1,1
05401,33040,0,1,1
05401,33062,0,1,1
05401,33125,0,1,1
05401,33131,0,2,2
05401,33133,0,1,1
05401,33137,0,1,1
05401,33139,0,1,1
05401,33143,0,1,1
05401,33156,0,1,1
05401,33161,0,1,1
05401,33162,0,1,1
05401,33181,0,1,1
05401,33186,0,1,1
05401,33193,0,1,1
05401,33199,0,1,1
05401,33261,0,1,1
05401,33301,0,1,1
05401,33303,0,1,1
05401,33304,0,4,4
05401,33305,0,1,1
05401,33306,0,1,1
05401,33308,0,1,1
05401,33312,0,3,3
05401,33314,0,1,1
05401,33317,0,1,1
05401,33324,0,1,1
05401,33325,0,1,1
05401,33326,0,2,2
05401,33334,0,3,3
