ZCTA5CE10,longt,lat
1001,-72.63,42.06
1002,-72.46,42.37
1003,-72.52,42.39
1005,-72.11,42.42
1007,-72.40,42.28
1008,-72.95,42.18
1009,-72.34,42.21
1010,-72.21,42.13
1011,-72.96,42.30
1012,-72.85,42.39
1013,-72.61,42.16
1020,-72.57,42.18
1022,-72.54,42.20
1026,-72.92,42.46
1027,-72.74,42.30
1028,-72.50,42.06
1029,-73.05,42.20
1030,-72.68,42.07
1031,-72.20,42.33
1032,-72.81,42.45
1033,-72.50,42.26
1034,-72.96,42.08
1035,-72.57,42.36
1036,-72.42,42.06
1037,-72.20,42.37
1038,-72.61,42.39
1039,-72.69,42.41
1040,-72.64,42.21
1050,-72.87,42.29
1053,-72.71,42.35
1054,-72.49,42.47
1056,-72.46,42.19
1057,-72.32,42.09
1060,-72.63,42.32
1062,-72.69,42.32
1063,-72.64,42.32
1066,-72.65,42.41
1068,-72.05,42.35
1069,-72.31,42.19
1070,-72.92,42.52
1071,-72.86,42.16
1072,-72.42,42.46
1073,-72.74,42.23
1074,-72.09,42.39
1075,-72.58,42.26
1077,-72.78,42.05
1079,-72.33,42.19
1080,-72.37,42.18
1081,-72.23,42.06
1082,-72.28,42.29
1083,-72.19,42.20
1084,-72.88,42.39
1085,-72.77,42.15
1086,-72.79,42.13
1088,-72.65,42.39
1089,-72.65,42.13
1092,-72.24,42.20
1093,-72.65,42.43
1094,-72.14,42.36
1095,-72.43,42.13
1096,-72.77,42.40
1097,-72.83,42.18
1098,-72.94,42.39
1103,-72.59,42.10
1104,-72.57,42.13
1105,-72.58,42.10
1106,-72.57,42.05
1107,-72.61,42.12
1108,-72.56,42.08
1109,-72.55,42.12
1118,-72.53,42.09
1119,-72.51,42.12
1128,-72.49,42.09
1129,-72.49,42.12
1151,-72.51,42.15
1199,-72.60,42.12
1201,-73.28,42.45
1220,-73.12,42.62
1222,-73.32,42.06
1223,-73.10,42.31
1224,-73.20,42.51
1225,-73.15,42.56
1226,-73.14,42.48
1229,-73.33,42.28
1230,-73.34,42.18
1235,-73.07,42.43
1236,-73.38,42.27
1237,-73.26,42.55
1238,-73.23,42.30
1240,-73.28,42.37
1242,-73.25,42.33
1243,-73.02,42.35
1244,-73.26,42.12
1245,-73.22,42.19
1247,-73.08,42.70
1253,-73.12,42.21
1254,-73.37,42.38
1255,-73.12,42.11
1256,-73.02,42.60
1257,-73.37,42.10
1258,-73.46,42.10
1259,-73.24,42.08
1260,-73.35,42.30
1262,-73.32,42.29
1264,-73.20,42.23
1266,-73.38,42.31
1267,-73.24,42.67
1270,-73.04,42.51
1301,-72.60,42.62
1330,-72.81,42.51
1331,-72.18,42.57
1337,-72.58,42.70
1338,-72.82,42.57
1339,-72.89,42.61
1340,-72.72,42.68
1341,-72.71,42.50
1342,-72.61,42.54
1343,-72.98,42.65
1344,-72.43,42.61
1346,-72.82,42.69
1347,-72.52,42.56
1349,-72.48,42.57
1350,-72.98,42.72
1351,-72.52,42.54
1354,-72.51,42.63
1355,-72.33,42.45
1360,-72.45,42.68
1364,-72.29,42.61
1366,-72.19,42.48
1367,-72.91,42.70
1368,-72.19,42.68
1370,-72.73,42.60
1373,-72.62,42.47
1375,-72.55,42.47
1376,-72.56,42.60
1378,-72.35,42.67
1379,-72.40,42.55
1420,-71.82,42.59
1430,-71.92,42.66
1431,-71.82,42.68
1432,-71.57,42.56
1434,-71.61,42.54
1436,-72.09,42.61
1438,-72.03,42.56
1440,-71.99,42.59
1450,-71.56,42.61
1451,-71.57,42.50
1452,-72.01,42.48
1453,-71.76,42.52
1460,-71.49,42.54
1462,-71.72,42.59
1463,-71.60,42.67
1464,-71.65,42.57
1467,-71.62,42.49
1468,-72.07,42.55
1469,-71.69,42.67
1473,-71.90,42.55
1474,-71.75,42.67
1475,-72.05,42.67
1501,-71.85,42.20
1503,-71.64,42.38
1504,-71.53,42.04
1505,-71.72,42.36
1506,-72.10,42.19
1507,-71.97,42.14
1510,-71.69,42.41
1515,-72.05,42.20
1516,-71.75,42.05
1518,-72.12,42.12
1519,-71.68,42.20
1520,-71.85,42.34
1521,-72.17,42.06
1522,-71.87,42.38
1523,-71.68,42.48
1524,-71.92,42.25
1525,-71.63,42.11
1527,-71.77,42.19
1529,-71.58,42.04
1531,-72.13,42.32
1532,-71.65,42.32
1534,-71.64,42.14
1535,-72.08,42.27
1536,-71.69,42.23
1537,-71.89,42.16
1540,-71.86,42.12
1541,-71.88,42.46
1542,-71.91,42.20
1543,-71.97,42.38
1545,-71.72,42.28
1550,-72.03,42.06
1560,-71.68,42.17
1561,-71.69,42.44
1562,-71.99,42.25
1564,-71.77,42.44
1566,-72.08,42.10
1568,-71.60,42.18
1569,-71.64,42.06
1570,-71.85,42.05
1571,-71.94,42.05
1581,-71.61,42.27
1583,-71.78,42.37
1585,-72.16,42.24
1588,-71.67,42.12
1590,-71.75,42.13
1602,-71.85,42.27
1603,-71.84,42.24
1604,-71.77,42.25
1605,-71.79,42.29
1606,-71.80,42.31
1607,-71.79,42.23
1608,-71.80,42.26
1609,-71.83,42.29
1610,-71.81,42.25
1611,-71.88,42.24
1612,-71.93,42.31
1701,-71.44,42.32
1702,-71.43,42.28
1718,-71.43,42.52
1719,-71.52,42.49
1720,-71.44,42.48
1721,-71.47,42.26
1730,-71.28,42.50
1731,-71.28,42.46
1740,-71.61,42.44
1741,-71.35,42.53
1742,-71.36,42.46
1745,-71.50,42.29
1746,-71.44,42.20
1747,-71.54,42.12
1748,-71.54,42.23
1749,-71.55,42.39
1752,-71.55,42.35
1754,-71.46,42.43
1756,-71.55,42.09
1757,-71.52,42.16
1760,-71.35,42.28
1770,-71.38,42.23
1772,-71.53,42.30
1773,-71.31,42.43
1775,-71.51,42.43
1776,-71.42,42.38
1778,-71.36,42.36
1801,-71.15,42.49
1803,-71.20,42.50
1810,-71.17,42.65
1821,-71.25,42.55
1824,-71.36,42.59
1826,-71.30,42.68
1827,-71.50,42.68
1830,-71.05,42.80
1832,-71.13,42.79
1833,-70.98,42.72
1834,-71.01,42.75
1835,-71.09,42.75
1840,-71.16,42.71
1841,-71.17,42.71
1843,-71.16,42.69
1844,-71.19,42.73
1845,-71.09,42.67
1850,-71.30,42.66
1851,-71.34,42.63
1852,-71.30,42.63
1854,-71.35,42.65
1860,-71.01,42.84
1862,-71.29,42.57
1863,-71.39,42.63
1864,-71.09,42.58
1867,-71.11,42.54
1876,-71.23,42.61
1879,-71.43,42.67
1880,-71.07,42.50
1886,-71.44,42.59
1887,-71.17,42.56
1890,-71.15,42.45
1901,-70.95,42.46
1902,-70.94,42.47
1904,-70.97,42.49
1905,-70.98,42.47
1906,-71.01,42.47
1907,-70.91,42.47
1908,-70.93,42.43
1913,-70.94,42.85
1915,-70.86,42.57
1921,-71.02,42.68
1922,-70.91,42.76
1923,-70.95,42.57
1929,-70.78,42.63
1930,-70.69,42.63
1937,-70.98,42.59
1938,-70.84,42.68
1940,-71.04,42.53
1944,-70.77,42.58
1945,-70.86,42.50
1949,-71.02,42.60
1950,-70.89,42.81
1951,-70.85,42.78
1952,-70.86,42.85
1960,-70.97,42.53
1966,-70.62,42.65
1969,-70.89,42.72
1970,-70.88,42.52
1982,-70.86,42.63
1983,-70.94,42.64
1984,-70.88,42.60
1985,-70.97,42.79
2019,-71.47,42.08
2021,-71.13,42.18
2025,-70.82,42.24
2026,-71.18,42.25
2030,-71.28,42.24
2032,-71.22,42.15
2035,-71.25,42.06
2038,-71.41,42.09
2043,-70.88,42.22
2045,-70.90,42.29
2047,-70.69,42.13
2048,-71.22,42.02
2050,-70.71,42.12
2052,-71.30,42.18
2053,-71.43,42.15
2054,-71.36,42.17
2056,-71.33,42.12
2061,-70.82,42.16
2062,-71.19,42.19
2066,-70.76,42.20
2067,-71.18,42.11
2071,-71.27,42.10
2072,-71.10,42.12
2081,-71.26,42.15
2090,-71.21,42.22
2093,-71.36,42.05
2108,-71.06,42.36
2109,-71.05,42.36
2110,-71.05,42.36
2111,-71.06,42.35
2113,-71.06,42.37
2114,-71.07,42.36
2115,-71.09,42.34
2116,-71.08,42.35
2118,-71.07,42.34
2119,-71.09,42.32
2120,-71.10,42.33
2121,-71.09,42.31
2122,-71.03,42.30
2124,-71.07,42.29
2125,-71.06,42.32
2126,-71.09,42.27
2127,-71.04,42.33
2128,-71.02,42.37
2129,-71.06,42.38
2130,-71.11,42.31
2131,-71.13,42.28
2132,-71.16,42.28
2134,-71.13,42.36
2135,-71.15,42.35
2136,-71.13,42.26
2138,-71.13,42.38
2139,-71.10,42.36
2140,-71.13,42.39
2141,-71.08,42.37
2142,-71.08,42.36
2143,-71.10,42.38
2144,-71.12,42.40
2145,-71.09,42.39
2148,-71.06,42.43
2149,-71.05,42.41
2150,-71.03,42.40
2151,-71.00,42.42
2152,-70.98,42.37
2155,-71.11,42.42
2163,-71.12,42.37
2169,-71.00,42.25
2170,-71.02,42.27
2171,-71.02,42.29
2176,-71.06,42.46
2180,-71.10,42.47
2184,-71.00,42.20
2186,-71.08,42.24
2188,-70.96,42.21
2189,-70.93,42.21
2190,-70.95,42.17
2191,-70.94,42.24
2199,-71.08,42.35
2203,-71.06,42.36
2210,-71.04,42.35
2215,-71.10,42.35
2301,-71.04,42.08
2302,-71.00,42.09
2322,-71.05,42.13
2324,-70.97,41.97
2330,-70.76,41.87
2332,-70.71,42.04
2333,-70.94,42.04
2338,-70.86,41.99
2339,-70.86,42.12
2341,-70.87,42.06
2343,-71.00,42.15
2346,-70.87,41.88
2347,-70.96,41.83
2351,-70.96,42.12
2356,-71.12,42.06
2357,-71.08,42.06
2359,-70.80,42.07
2360,-70.63,41.88
2364,-70.75,41.99
2366,-70.66,41.85
2367,-70.81,41.96
2368,-71.05,42.18
2370,-70.91,42.13
2375,-71.10,42.02
2379,-71.03,42.02
2382,-70.94,42.08
2420,-71.22,42.46
2421,-71.24,42.44
2445,-71.13,42.33
2446,-71.12,42.34
2451,-71.26,42.40
2452,-71.22,42.39
2453,-71.24,42.37
2457,-71.27,42.30
2458,-71.19,42.35
2459,-71.19,42.31
2460,-71.21,42.35
2461,-71.21,42.32
2462,-71.26,42.33
2464,-71.22,42.31
2465,-71.23,42.35
2466,-71.25,42.34
2467,-71.16,42.32
2468,-71.23,42.33
2472,-71.18,42.37
2474,-71.16,42.42
2476,-71.18,42.42
2478,-71.18,42.40
2481,-71.27,42.31
2482,-71.30,42.29
2492,-71.24,42.28
2493,-71.30,42.36
2494,-71.23,42.30
2532,-70.60,41.75
2534,-70.62,41.67
2535,-70.76,41.33
2536,-70.57,41.60
2537,-70.44,41.73
2538,-70.65,41.78
2539,-70.52,41.38
2540,-70.63,41.57
2542,-70.55,41.70
2543,-70.77,41.48
2553,-70.62,41.71
2554,-70.09,41.29
2556,-70.63,41.64
2557,-70.57,41.44
2558,-70.65,41.74
2559,-70.62,41.69
2561,-70.53,41.77
2562,-70.53,41.79
2563,-70.48,41.72
2564,-69.98,41.26
2568,-70.62,41.46
2571,-70.70,41.76
2575,-70.66,41.40
2576,-70.76,41.78
2584,-70.01,41.26
2601,-70.30,41.66
