id,state,district,x,y
1001,Madhya Pradesh,Balaghat,80.54193,21.86021
1002,Madhya Pradesh,Bastar (Jagdalpur),81.59129,19.24956
1003,Madhya Pradesh,Betul,78.00129,21.79243
1004,Madhya Pradesh,Bhind,78.77831,26.35892
1006,Madhya Pradesh,Bilaspur,82.50162,22.346
1007,Madhya Pradesh,Chhatrapur,79.7748,24.74007
1008,Madhya Pradesh,Chhindwara,78.98572,22.03615
1009,Madhya Pradesh,Damoh,79.63739,23.76042
1010,Madhya Pradesh,Datia,78.62309,25.77994
1011,Madhya Pradesh,Dewas,76.52256,22.67308
1012,Madhya Pradesh,Dhar,75.16582,22.46059
1013,Madhya Pradesh,Durg,81.32627,21.26995
1014,Madhya Pradesh,East Nimar (Khandwa),76.58869,21.69804
1015,Madhya Pradesh,Guna,77.58042,24.48665
1016,Madhya Pradesh,Gwalior,78.20428,25.95193
1017,Madhya Pradesh,Hoshangabad,77.81049,22.38259
1018,Madhya Pradesh,Indore,75.85107,22.64225
1019,Madhya Pradesh,Jabalpur,80.30684,23.42609
1020,Madhya Pradesh,Jhabua,74.58065,22.57068
1021,Madhya Pradesh,Mandla,80.90443,22.69803
1022,Madhya Pradesh,Mandsaur,75.38477,24.29772
1023,Madhya Pradesh,Morena,77.46504,25.97082
1024,Madhya Pradesh,Narsimhapur,79.21817,22.84824
1025,Madhya Pradesh,Panna,80.28503,24.39144
1026,Madhya Pradesh,Raigarh,83.80405,22.50419
1027,Madhya Pradesh,Raipur,82.46889,21.05608
1028,Madhya Pradesh,Raisen,78.20587,23.12694
1029,Madhya Pradesh,Rajgarh,76.82772,23.77771
1031,Madhya Pradesh,Ratlam,75.16381,23.44083
1032,Madhya Pradesh,Rewa,81.7013,24.75346
1033,Madhya Pradesh,Sagar,78.84608,23.77042
1034,Madhya Pradesh,Surguja (Ambikapur),83.0818,23.42265
1035,Madhya Pradesh,Satna,80.90512,24.52385
1036,Madhya Pradesh,Sehore,77.28717,23.0446
1037,Madhya Pradesh,Seoni,79.82807,22.25501
1038,Madhya Pradesh,Shahdol,81.47362,23.44278
1039,Madhya Pradesh,Shajapur,76.42059,23.49937
1040,Madhya Pradesh,Shivpuri,77.897,25.26177
1041,Madhya Pradesh,Sidhi,82.29035,24.21751
1042,Madhya Pradesh,Tikamgarh,79.09722,24.94068
1043,Madhya Pradesh,Ujjain,75.74525,23.24383
1044,Madhya Pradesh,Vidisha,77.91267,23.79652
1045,Madhya Pradesh,West Nimar (Khargon),75.51046,21.81312
1101,Maharashtra,Ahmadnagar,74.67568,19.17805
1102,Maharashtra,Akola,77.26633,20.46873
1103,Maharashtra,Amravati,77.70041,21.13563
1104,Maharashtra,Aurangabad,75.58554,19.89408
1105,Maharashtra,Beed,75.91851,18.89662
1106,Maharashtra,Bhandara,80.23398,21.13018
1107,Maharashtra,Buldana,76.48841,20.44085
